"month","new_death","new_case","tot_cases","tot_death"
Jan 2020,0,4,4,0
Feb 2020,2,66,70,1
Mar 2020,4972,213812,212666,4652
Apr 2020,60381,879832,1080431,59881
May 2020,41764,743255,1810919,100028
Jun 2020,20624,865697,2660887,119949
Jul 2020,30627,1941901,4577560,150296
Aug 2020,30611,1474962,6012888,180151
Sep 2020,21801,1221702,7174590,201382
Oct 2020,24016,1939251,9000779,224486
Nov 2020,42007,4439467,13275790,263623
Dec 2020,82386,6388165,19165354,339520
Jan 2021,97693,6078083,24630341,430489
Feb 2021,61673,2330199,26690483,490757
Mar 2021,31867,1797303,28242469,523564
Apr 2021,20707,1843238,29861560,543296
May 2021,16242,894527,30655134,558961
Jun 2021,9499,392076,31008215,567884
Jul 2021,9413,1383168,32259328,576928
Aug 2021,32798,4255925,36069054,607956
Sep 2021,53332,4080344,39575577,658361
Oct 2021,42334,2433059,41692143,698794
Nov 2021,17477,1321872,42865086,715003
